[228158][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18081648647785187, 'lighthouse.angle1y_3': -0.2677662968635559} 
[228168][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18079687654972076, 'lighthouse.angle1y_3': -0.2677772343158722} 
[228178][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18079687654972076, 'lighthouse.angle1y_3': -0.2677772343158722} 
[228188][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18080972135066986, 'lighthouse.angle1y_3': -0.2678490877151489} 
[228198][lighthouse3]: {'lighthouse.angle0x_3': 0.029171831905841827, 'lighthouse.angle0y_3': -0.19638271629810333, 'lighthouse.angle1x_3': -0.18080972135066986, 'lighthouse.angle1y_3': -0.2678490877151489} 
[228208][lighthouse3]: {'lighthouse.angle0x_3': 0.029171831905841827, 'lighthouse.angle0y_3': -0.19638271629810333, 'lighthouse.angle1x_3': -0.18087539076805115, 'lighthouse.angle1y_3': -0.26780447363853455} 
[228218][lighthouse3]: {'lighthouse.angle0x_3': 0.029171831905841827, 'lighthouse.angle0y_3': -0.19638271629810333, 'lighthouse.angle1x_3': -0.18087539076805115, 'lighthouse.angle1y_3': -0.26780447363853455} 
[228228][lighthouse3]: {'lighthouse.angle0x_3': 0.029171831905841827, 'lighthouse.angle0y_3': -0.19638271629810333, 'lighthouse.angle1x_3': -0.18088173866271973, 'lighthouse.angle1y_3': -0.2678641676902771} 
[228238][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18088173866271973, 'lighthouse.angle1y_3': -0.2678641676902771} 
[228248][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086224794387817, 'lighthouse.angle1y_3': -0.2678276002407074} 
[228258][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086224794387817, 'lighthouse.angle1y_3': -0.2678276002407074} 
[228268][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18086224794387817, 'lighthouse.angle1y_3': -0.2678276002407074} 
[228278][lighthouse3]: {'lighthouse.angle0x_3': 0.029138784855604172, 'lighthouse.angle0y_3': -0.19632171094417572, 'lighthouse.angle1x_3': -0.18086224794387817, 'lighthouse.angle1y_3': -0.2678276002407074} 
[228288][lighthouse3]: {'lighthouse.angle0x_3': 0.029138784855604172, 'lighthouse.angle0y_3': -0.19632171094417572, 'lighthouse.angle1x_3': -0.18090787529945374, 'lighthouse.angle1y_3': -0.26786530017852783} 
[228298][lighthouse3]: {'lighthouse.angle0x_3': 0.029138784855604172, 'lighthouse.angle0y_3': -0.19632171094417572, 'lighthouse.angle1x_3': -0.18090787529945374, 'lighthouse.angle1y_3': -0.26786530017852783} 
[228308][lighthouse3]: {'lighthouse.angle0x_3': 0.029138784855604172, 'lighthouse.angle0y_3': -0.19632171094417572, 'lighthouse.angle1x_3': -0.1808622032403946, 'lighthouse.angle1y_3': -0.26780369877815247} 
[228318][lighthouse3]: {'lighthouse.angle0x_3': 0.02904650568962097, 'lighthouse.angle0y_3': -0.1963692307472229, 'lighthouse.angle1x_3': -0.1808622032403946, 'lighthouse.angle1y_3': -0.26780369877815247} 
[228328][lighthouse3]: {'lighthouse.angle0x_3': 0.02904650568962097, 'lighthouse.angle0y_3': -0.1963692307472229, 'lighthouse.angle1x_3': -0.18084263801574707, 'lighthouse.angle1y_3': -0.26779094338417053} 
[228338][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18084263801574707, 'lighthouse.angle1y_3': -0.26779094338417053} 
[228348][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.1808883100748062, 'lighthouse.angle1y_3': -0.267804890871048} 
[228358][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.1808883100748062, 'lighthouse.angle1y_3': -0.267804890871048} 
[228368][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.1808098703622818, 'lighthouse.angle1y_3': -0.26780155301094055} 
[228378][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.1808098703622818, 'lighthouse.angle1y_3': -0.26780155301094055} 
[228388][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18084916472434998, 'lighthouse.angle1y_3': -0.2678031623363495} 
[228398][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18084916472434998, 'lighthouse.angle1y_3': -0.2678031623363495} 
[228408][lighthouse3]: {'lighthouse.angle0x_3': 0.02919141575694084, 'lighthouse.angle0y_3': -0.19634687900543213, 'lighthouse.angle1x_3': -0.18082304298877716, 'lighthouse.angle1y_3': -0.26780200004577637} 
[228418][lighthouse3]: {'lighthouse.angle0x_3': 0.029158279299736023, 'lighthouse.angle0y_3': -0.19631029665470123, 'lighthouse.angle1x_3': -0.18082304298877716, 'lighthouse.angle1y_3': -0.26780200004577637} 
[228428][lighthouse3]: {'lighthouse.angle0x_3': 0.029158279299736023, 'lighthouse.angle0y_3': -0.19631029665470123, 'lighthouse.angle1x_3': -0.18081636726856232, 'lighthouse.angle1y_3': -0.2678138017654419} 
[228438][lighthouse3]: {'lighthouse.angle0x_3': 0.029158279299736023, 'lighthouse.angle0y_3': -0.19631029665470123, 'lighthouse.angle1x_3': -0.18081636726856232, 'lighthouse.angle1y_3': -0.2678138017654419} 
[228448][lighthouse3]: {'lighthouse.angle0x_3': 0.029158279299736023, 'lighthouse.angle0y_3': -0.19631029665470123, 'lighthouse.angle1x_3': -0.18081636726856232, 'lighthouse.angle1y_3': -0.2678138017654419} 
[228458][lighthouse3]: {'lighthouse.angle0x_3': 0.029158279299736023, 'lighthouse.angle0y_3': -0.19631029665470123, 'lighthouse.angle1x_3': -0.18081636726856232, 'lighthouse.angle1y_3': -0.2678138017654419} 
[228468][lighthouse3]: {'lighthouse.angle0x_3': 0.029158279299736023, 'lighthouse.angle0y_3': -0.19631029665470123, 'lighthouse.angle1x_3': -0.18082936108112335, 'lighthouse.angle1y_3': -0.26783809065818787} 
[228478][lighthouse3]: {'lighthouse.angle0x_3': 0.029165148735046387, 'lighthouse.angle0y_3': -0.19639496505260468, 'lighthouse.angle1x_3': -0.18082936108112335, 'lighthouse.angle1y_3': -0.26783809065818787} 
